pattern,pt_mid,latent_signal,NES_current,padj_current,NES_weighted,padj_weighted
mixed_biphasic,0.5553357846736908,-0.05099086451271314,-1.6499238322768541,0.17166633828366665,-1.6543796941814086,0.16486767142094713
mixed_biphasic,0.5570326327085495,-0.05099081585287621,-1.7797778139090843,0.0951813360780726,-1.7844651896436252,0.107421875
mixed_biphasic,0.5586598181724548,-0.050990756716935516,-1.742765307172892,0.1181640625,-1.7473866941169145,0.10198000294079206
mixed_biphasic,0.5602430657148362,-0.05099068452682418,-1.6928624389757607,0.0751953125,-1.697394855185129,0.0859375
mixed_biphasic,0.5618001945018768,-0.05099059305431162,-1.6850897173449921,0.09348166936239272,-1.6896082757385922,0.0985806695094323
mixed_biphasic,0.563333609342575,-0.050990479402352344,-1.6264727876807845,0.34333267656733335,-1.6354295853629195,0.2978915870216568
mixed_biphasic,0.5648407248258591,-0.050990344712654644,-1.7836304952127922,0.08496650740066983,-1.7898389885198192,0.09269073534618526
mixed_biphasic,0.5663299572467804,-0.05099017563819252,-1.5920032852458383,0.2447520070579009,-1.6008986280043258,0.28274455717309804
mixed_biphasic,0.567819827079773,-0.050989969195550794,-1.691410368774578,0.23455400676382174,-1.7004829422528807,0.2269055065432623
mixed_biphasic,0.569299899339676,-0.05098971932555955,-1.751208583676974,0.13257400382302967,-1.7603877700876207,0.14787100426414845
mixed_biphasic,0.570752803683281,-0.05098942858904146,-1.8562982305587474,0.06823068018538637,-1.8611220328741909,0.06694330886113381
mixed_biphasic,0.5721693630218506,-0.05098909272088712,-1.7279464840058125,0.1376730039700693,-1.7325414507934087,0.11897667009759072
mixed_biphasic,0.5735656807422638,-0.0509886995386177,-1.5561317208206824,0.18849637144873202,-1.5649631089497988,0.18513036481571896
mixed_biphasic,0.5749505865573883,-0.050988233174736275,-1.6948460987599454,0.12407567024463033,-1.7039247977262595,0.13257400382302967
mixed_biphasic,0.5763075245618821,-0.050987677032528565,-1.5983889768073396,0.19522838471475815,-1.6057814557648855,0.20196039798078427
mixed_biphasic,0.5776537510156632,-0.050987005052546,-1.645539130017834,0.14447167083278875,-1.6484729258213509,0.1308743371073498
mixed_biphasic,0.5790652668476105,-0.05098613159013169,-1.6539850906799851,0.15806900455822767,-1.6584481933135158,0.14447167083278875
mixed_biphasic,0.5804913299083709,-0.05098503120177908,-1.8069581969289779,0.06436856621262865,-1.8101797832641655,0.04977835787109949
mixed_biphasic,0.5819374324083328,-0.05098366741241198,-1.8325146631042706,0.04333725249959158,-1.838810310927409,0.04462887257408921
mixed_biphasic,0.583407318353653,-0.050981983734075885,-1.6983701502175075,0.10198000294079206,-1.7029123860050508,0.10028033622511218
mixed_biphasic,0.5849280633926391,-0.05097989248360151,-1.6438400640102293,0.16316800470526727,-1.6513135767192482,0.17503234491667974
mixed_biphasic,0.5865214339494705,-0.05097722570804849,-1.6704363996553397,0.0781005270046561,-1.676443081679686,0.08153351720266296
mixed_biphasic,0.5882393734455109,-0.05097355122429073,-1.6527759347883755,0.16996667156798675,-1.6617796277774617,0.15976867127390756
mixed_biphasic,0.5900810403823853,-0.05096849482357402,-1.5594955530586692,0.24571848420995424,-1.5683329384908724,0.24235247757694114
mixed_biphasic,0.5920021827220917,-0.05096189125301129,-1.6658865041625994,0.14277200411710886,-1.6749135716997048,0.15976867127390756
mixed_biphasic,0.5939756060838699,-0.05095353512578518,-1.8265316982593252,0.04333725249959158,-1.8358451766071484,0.04462887257408921
mixed_biphasic,0.5959716556072235,-0.05094286095420627,-1.8187998251958635,0.05149485297010292,-1.8235567724227313,0.058360833366116645
mixed_biphasic,0.598046440243721,-0.05092841644420259,-1.6642471480247805,0.16826700485230686,-1.6687285466563975,0.15976867127390756
mixed_biphasic,0.6003068634271622,-0.05090673087132744,-1.5861806074301836,0.23898647094392808,-1.5890085742191893,0.2558165041089934
mixed_biphasic,0.6028330242633819,-0.05087181097251578,-1.6062155607604227,0.1514702984855882,-1.609079247430488,0.24235247757694114
mixed_biphasic,0.6055612564086914,-0.05081994950187833,-1.5426674929774173,0.24740148752646077,-1.5454178811842725,0.2949710812665425
mixed_biphasic,0.6085072658061981,-0.050740664317004025,-1.4884987961042275,0.24487698255170096,-1.491152608123577,0.27997255171061664
mixed_biphasic,0.6119022907018662,-0.05058052302406535,-1.4593030167892465,0.319968630526419,-1.4619047762908086,0.269973532006666
mixed_biphasic,0.6158285541534424,-0.050244341038116924,-1.5223522030865946,0.27497304185864135,-1.5250663716064536,0.27497304185864135
mixed_biphasic,0.6219206821918487,-0.047478421691497935,-1.687419037485686,0.12492550360247026,-1.6904275000622624,0.1614683379895874
mixed_biphasic,0.6339157146215438,-0.008139215380251683,0.9917553399687264,0.7920792079207921,1.0050537346642534,0.7722772277227723
sparse_noise,0.1773897192031145,0.0,-1.503161186894777,0.45995490638172737,-1.249255186631896,0.7623762376237624
sparse_noise,0.19579090248048306,0.0,-1.5258631076980993,0.4066268012939908,-1.2855971556975512,0.8184818481848185
sparse_noise,0.2108428089618683,0.0,-1.531905598591112,0.47328693265366134,-1.2931683992528962,0.5346534653465347
sparse_noise,0.22445784997940063,0.0,-1.5452263299401028,0.31496912067444366,-1.30225389151931,0.5742574257425742
sparse_noise,0.23808298605680467,0.0,-1.5814937619114195,0.2899715714145672,-1.3219391247632064,0.47495343593765316
sparse_noise,0.25273283180594447,0.0,-1.5922125317342022,0.2171074278293431,-1.3325388657406891,0.47995294578962844
sparse_noise,0.268777245759964,0.0,-1.6284956990313575,0.25997451230271545,-1.380994824494896,0.504950495049505
sparse_noise,0.2863730906546116,0.0,-1.6586818016609375,0.25245049747598036,-1.3976515603166546,0.5148514851485149
sparse_noise,0.3065762624144554,0.0,-1.6707295661798318,0.1994358930060245,-1.4006800577387923,0.4849524556416038
sparse_noise,0.32948115104436876,0.0,-1.6690549182919536,0.17166633828366668,-1.4536787626262064,0.34996568963827074
sparse_noise,0.35470009341835973,0.0,-1.706494963101868,0.17166633828366665,-1.4551930113372753,0.4199588275659249
sparse_noise,0.38087965828180315,0.0,-1.7291872168880262,0.08158400235263365,-1.4960777265361371,0.24992599250122055
sparse_noise,0.40682503187656405,0.0,-1.7561249117222795,0.06628700191151483,-1.5324196956017926,0.269973532006666
sparse_noise,0.4314547888636589,0.0,-1.7654890863120456,0.06501225187475493,-1.5293911981796546,0.18681336813222546
