pathway,ES_Py,NES_Py,Pvalue_Py,ES_R,NES_R,Pvalue_R,Regime,log10P_Py,log10P_R
NULL_PATH_72,0.19822516750954458,0.9022917463810133,0.71875,0.198225167509545,0.909691605996169,0.703157894736842,Synthetic small,0.1434221423023131,0.15294714281330218
NULL_PATH_1,0.21140283309280142,0.853906929943474,0.75,0.211402833092802,0.84956043771952,0.768595041322314,Synthetic small,0.12493873660829995,0.11430242176251497
NULL_PATH_17,-0.27699397881635396,-0.8005741480579791,0.765625,-0.276993978816354,-0.803669800815124,0.766871165644172,Synthetic small,0.11598389395537351,0.11527759139590125
NULL_PATH_9,0.22057090977084862,0.8246082218543528,0.78125,0.220570909770849,0.830724240251185,0.75,Synthetic small,0.10720996964786837,0.12493873660829995
NULL_PATH_74,0.18721229792831387,0.8821462228118234,0.78125,0.187212297928314,0.889386659603055,0.774530271398747,Synthetic small,0.10720996964786837,0.11096160379951758
NULL_PATH_14,-0.19680462970813542,-0.862140659339561,0.78125,-0.196804629708135,-0.861521258801399,0.767485822306238,Synthetic small,0.10720996964786837,0.11492963845799177
NULL_PATH_67,0.20412891850337872,0.8718820621182081,0.796875,0.204128918503379,0.867530638673269,0.769392033542977,Synthetic small,0.09860979788595081,0.11385231478802453
NULL_PATH_8,0.18151581283270013,0.855947395259909,0.796875,0.1815158128327,0.852332012274142,0.840909090909091,Synthetic small,0.09860979788595081,0.07525095241919236
NULL_PATH_32,-0.18586016137454578,-0.8807204688855051,0.8125,-0.185860161374546,-0.882165830559632,0.79047619047619,Synthetic small,0.09017663034908802,0.10211120669386443
NULL_PATH_68,0.20908572649608637,0.859685168084923,0.8125,0.209085726496086,0.847182325320003,0.765560165975104,Synthetic small,0.09017663034908802,0.11602067207978906
NULL_PATH_82,0.17995692051031864,0.8607541107644506,0.828125,0.179956920510319,0.868439878483139,0.820247933884298,Synthetic small,0.08190410438309813,0.08605485488129717
NULL_PATH_47,-0.18526753237890498,-0.8313929264547908,0.859375,-0.185267532378905,-0.840451945742769,0.855212355212355,Synthetic small,0.06581728448964333,0.0679260335221636
NULL_PATH_10,0.21558636819244914,0.7238379155186967,0.859375,0.215586368192449,0.729236729124239,0.874751491053678,Synthetic small,0.06581728448964333,0.05811530856973993
NULL_PATH_85,-0.18841884108730017,-0.7530748631307846,0.875,-0.1884188410873,-0.73963811843727,0.926070038910506,Synthetic small,0.057991946977686754,0.03335616627478251
NULL_PATH_4,-0.18033347629512494,-0.7962962182843676,0.90625,-0.180333476295125,-0.791816320558398,0.896946564885496,Synthetic small,0.04275198042094989,0.0472334290480093
NULL_PATH_57,-0.17801947450498404,-0.7444104577221933,0.90625,-0.178019474504984,-0.744706677176407,0.928030303030303,Synthetic small,0.04275198042094989,0.03243784250529862
NULL_PATH_51,0.1716922017728922,0.8244033525182174,0.90625,0.171692201772892,0.83327837309024,0.893081761006289,Synthetic small,0.04275198042094989,0.04910877993739515
NULL_PATH_99,0.173671235706937,0.8335931974940264,0.921875,0.173671235706937,0.845053616103568,0.869294605809129,Synthetic small,0.03532796234174298,0.060833015272554095
NULL_PATH_6,0.20351158356510032,0.5775972397082003,0.921875,0.2035115835651,0.580936022698834,0.95703125,Synthetic small,0.03532796234174298,0.019073880947317094
NULL_PATH_41,-0.1745534910317135,-0.7628882228844976,0.9375,-0.174553491031713,-0.765536198043108,0.935672514619883,Synthetic small,0.028028723600243537,0.02887612773622908
NULL_PATH_81,0.17518382837577284,0.7788336292988469,0.9375,0.175183828375773,0.777467107140962,0.936213991769547,Synthetic small,0.028028723600243537,0.028624872605181127
NULL_PATH_69,0.1697501024343972,0.8056704142547058,0.953125,0.169750102434397,0.798790964828639,0.939330543933054,Synthetic small,0.020850138973120137,0.027181555608795867
NULL_PATH_88,0.16675239995091456,0.6731223148220041,0.984375,0.166752399950915,0.669108787483025,0.981632653061224,Synthetic small,0.006839424530305466,0.00805100365468209
NULL_PATH_76,0.14618196747794296,0.6913465187508079,1.0,0.146181967477943,0.697219916416963,0.993788819875776,Synthetic small,-0.0,0.0027058933759250793
NULL_PATH_21,0.14445028493549514,0.6910162635377513,1.0,0.144450284935495,0.686810268784031,0.993657505285412,Synthetic small,-0.0,0.002763282802094231
