window_size,step,runtime_s,PathwayDisplay,pt_mid,NES,padj,window_id
1000,20,7.250539064407349,E2F Targets,0.47982877,-3.5054884661656853,1.365773507253934e-07,42
1000,20,7.250539064407349,E2F Targets,0.48543477,-3.510648976444681,4.1120603249325184e-07,43
1000,20,7.250539064407349,E2F Targets,0.49766454,-3.5467678032931906,1.0070855154498704e-07,44
1000,20,7.250539064407349,E2F Targets,0.50299174,-3.432574279622394,2.9416941580645574e-06,45
1000,20,7.250539064407349,E2F Targets,0.51033676,-3.3172596676751978,1.1990433120458107e-05,46
1000,20,7.250539064407349,E2F Targets,0.51764256,-3.3535041614245635,4.076347619032316e-06,47
1000,20,7.250539064407349,E2F Targets,0.52509695,-3.2905524040450143,4.5248304330877405e-05,48
1000,20,7.250539064407349,E2F Targets,0.53207064,-3.2812655420693733,3.619864346470193e-05,49
1000,20,7.250539064407349,E2F Targets,0.53641355,-3.304869057550217,2.056333830482447e-05,50
1000,20,7.250539064407349,E2F Targets,0.5402888,-3.2652126296159434,2.4724966295086582e-05,51
1000,20,7.250539064407349,E2F Targets,0.54337746,-3.245183490380378,6.432673853089237e-05,52
1000,20,7.250539064407349,E2F Targets,0.5458961,-3.2165005939099083,0.0001559128031936936,53
1000,20,7.250539064407349,E2F Targets,0.5479513,-3.1442647801274117,0.00017112380838332222,54
1000,20,7.250539064407349,E2F Targets,0.5502163,-3.1389758059631463,0.000514540321598363,55
1000,20,7.250539064407349,E2F Targets,0.5518471,-3.138381997825495,0.0004921690032679995,56
1000,20,7.250539064407349,E2F Targets,0.55314374,-3.044049028723063,0.0008417756838425056,57
1000,20,7.250539064407349,E2F Targets,0.5542995,-3.014095820287808,0.001959510166000083,58
1000,20,7.250539064407349,E2F Targets,0.5552962,-3.0007897946714475,0.0009303836505627697,59
1000,20,7.250539064407349,E2F Targets,0.55635893,-2.9869956921892986,0.0028953956184180328,60
1000,20,7.250539064407349,E2F Targets,0.55745405,-2.938147801123121,0.0024274528922090576,61
1000,20,7.250539064407349,E2F Targets,0.55907327,-2.9288593785480224,0.0029538884591941567,62
1000,20,7.250539064407349,E2F Targets,0.5600357,-2.8874056149614464,0.008143919315986656,63
1000,20,7.250539064407349,E2F Targets,0.56092405,-2.855286454351986,0.01020857491722271,64
1000,20,7.250539064407349,E2F Targets,0.5618551,-2.7949250185268584,0.016173585359050884,65
1000,20,7.250539064407349,E2F Targets,0.56253976,-2.7544162808053936,0.019793845928514568,66
1000,20,7.250539064407349,E2F Targets,0.56324136,-2.703453628623735,0.037788251318073264,67
1000,20,7.250539064407349,E2F Targets,0.5638939,-2.6204016487760446,0.0577392578125,68
1000,20,7.250539064407349,E2F Targets,0.5644741,-2.5679691222136003,0.0712719586017815,69
1000,20,7.250539064407349,E2F Targets,0.5651752,-2.534066771413909,0.09880249947345002,70
