Pathway,ES,NES,P-value,log2err,Size,n_levels,padj,pval_capped,window_id,pt_start,pt_end,pt_mid
E2F Targets,-0.7276262120388105,-3.634659363172294,1.2008479910813709e-08,0.0995037190209989,56,,1.721215453883298e-07,False,48,0.4821023,0.5487874,0.5154449
E2F Targets,-0.7386872602914267,-3.6899118292499287,4.276886875121695e-09,0.0995037190209989,56,,6.130204521007762e-08,False,49,0.49533048,0.5493379,0.5223342
E2F Targets,-0.7288048995537708,-3.64054717691735,5.7562627163582994e-08,0.0995037190209989,56,,8.250643226780228e-07,False,50,0.50334394,0.5499651,0.5266545
E2F Targets,-0.740027182509851,-3.696605047218908,3.3596086498071684e-08,0.0995037190209989,56,,4.815439064723607e-07,False,51,0.510644,0.55079466,0.53071934
E2F Targets,-0.7354603152759788,-3.673792500780472,4.03685956731621e-08,0.0995037190209989,56,,5.786165379819901e-07,False,52,0.51605463,0.55180603,0.5339303
E2F Targets,-0.739412040769696,-3.6935322735220018,1.7536192885632716e-08,0.0995037190209989,56,,2.513520980274023e-07,False,53,0.52074814,0.55257773,0.53666294
E2F Targets,-0.747361625531756,-3.733242267761753,8.373664209379298e-09,0.0995037190209989,56,,1.200225203344366e-07,False,54,0.52437645,0.5531619,0.5387692
E2F Targets,-0.7403163474779153,-3.69804949237672,2.038414236961653e-08,0.0995037190209989,56,,2.921727072978369e-07,False,55,0.52825063,0.5539437,0.54109716
E2F Targets,-0.749051715902494,-3.741684655747471,1.6773749716692164e-08,0.0995037190209989,56,,2.404237459392544e-07,False,56,0.53069,0.55481714,0.5427536
E2F Targets,-0.731870812345491,-3.65586211259548,1.4064512544807186e-07,0.0995037190209989,56,,2.0159134647556963e-06,False,57,0.53270656,0.5552683,0.5439874
E2F Targets,-0.7231696368852022,-3.612397750902505,2.404175291973028e-07,0.0995037190209989,56,,3.4459845851613395e-06,False,58,0.53435814,0.55582225,0.5450902
E2F Targets,-0.7260631210074605,-3.626851365936093,4.41282868034074e-07,0.0995037190209989,56,,6.325054441821728e-06,False,59,0.5359037,0.55647045,0.54618704
E2F Targets,-0.7133340918636645,-3.5632669537803587,5.341845244623001e-07,0.0995037190209989,56,,7.6566448506263e-06,False,60,0.53751814,0.55724984,0.547384
E2F Targets,-0.7136958315405677,-3.565073926209242,3.135430904452631e-07,0.0995037190209989,56,,4.494117629715438e-06,False,61,0.5390812,0.5579985,0.5485399
E2F Targets,-0.7185183962610829,-3.589163740080585,5.979405631875537e-07,0.0995037190209989,56,,8.57048140568827e-06,False,62,0.54182404,0.55878276,0.5503034
E2F Targets,-0.707789911018335,-3.5355725023062514,4.935400497749511e-07,0.0995037190209989,56,,7.0740740467743e-06,False,63,0.54339933,0.5592333,0.5513163
E2F Targets,-0.724561892360619,-3.619352385460642,1.288013254103395e-07,0.0995037190209989,56,,1.8461523308815325e-06,False,64,0.5446714,0.5597453,0.55220836
E2F Targets,-0.7018807456222691,-3.506054869516245,1.7306907100405976e-06,0.0995037190209989,56,,2.4806566843915237e-05,False,65,0.54595035,0.56045663,0.55320346
E2F Targets,-0.6836187940296258,-3.414832244152029,6.966311149475328e-06,0.0995037190209989,56,,9.985045980914638e-05,False,66,0.5469215,0.5610225,0.553972
E2F Targets,-0.6767268236261045,-3.380405275547263,9.197351975124296e-06,0.0995037190209989,56,,0.0001318287116434,False,67,0.5479327,0.5615704,0.5547515
E2F Targets,-0.6785951372246569,-3.3897379293219165,1.0258584895330944e-05,0.0995037190209989,56,,0.000147039716833,False,68,0.5487934,0.5620878,0.55544055
E2F Targets,-0.6665633393705501,-3.3296363469398167,6.341129379650618e-06,0.0995037190209989,56,,9.088952110832552e-05,False,69,0.54934615,0.56275624,0.5560512
E2F Targets,-0.6286136161988733,-3.140068799243536,0.0001277603241082,0.0995037190209989,56,,0.001373423484164,False,70,0.55013704,0.56336045,0.55674875
E2F Targets,-0.6392489865232908,-3.193194906702109,0.0001016587525162,0.0995037190209989,56,,0.0009687804361415,False,71,0.5508533,0.56394434,0.5573988
E2F Targets,-0.6323567275268621,-3.1587664965097595,0.0001002849855903,0.0995037190209989,56,,0.0014374181267953,False,72,0.5518487,0.56455404,0.5582014
E2F Targets,-0.6326547890604677,-3.1602553820474117,0.0002122065851412,0.0995037190209989,56,,0.0030416277203583,False,73,0.55259967,0.565052,0.55882585
E2F Targets,-0.6256489067375058,-3.125259397349325,0.0002720597245401,0.0995037190209989,56,,0.0025021172830821,False,74,0.5531784,0.56569415,0.5594363
E2F Targets,-0.6533642193615044,-3.263703723385631,3.152486027672696e-05,0.0995037190209989,56,,0.000451856330633,False,75,0.55397874,0.56607985,0.56002927
E2F Targets,-0.628391789374327,-3.138960723515229,0.0001099013540716,0.0995037190209989,56,,0.0011814395562701,False,76,0.5548264,0.56676614,0.56079626
E2F Targets,-0.6392609792673691,-3.1932548132019485,9.204238403500268e-05,0.0995037190209989,56,,0.0009894556283762,False,77,0.5553166,0.5673342,0.56132543
E2F Targets,-0.619955510353497,-3.0968195801286047,6.867474464204643e-05,0.0995037190209989,56,,0.0007382535049019,False,78,0.55583763,0.5680916,0.56196463
E2F Targets,-0.6102902808791983,-3.0485395481221507,0.0002094859878958,0.0995037190209989,56,,0.0022519743698806,False,79,0.55648947,0.5688108,0.56265014
