level	axis	protein_name	left_out_unit	n_units_remaining	spearman_refit	direction_preserved
guide	immune_evasion_antigen_presentation	HLA_A	CTSA_1	740	0.5643036779280637	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSA_2	740	0.5646273809652487	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSA_3	740	0.5654500089654281	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSB_1	740	0.5653526996451289	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSB_2	740	0.5651109070096321	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSB_3	740	0.5647970948163242	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSD_1	740	0.5660098188835458	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSD_2	740	0.5651580810045307	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSD_3	740	0.5645709380058785	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSL_1	740	0.5650226297473644	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSL_2	740	0.5677616235553705	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSL_3	740	0.5660566967453942	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSO_1	740	0.5650362222543691	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSO_2	740	0.5648806635630936	True
guide	immune_evasion_antigen_presentation	HLA_A	CTSO_3	740	0.5647366244474712	True
guide	immune_evasion_antigen_presentation	HLA_A	CXCR4_1	740	0.5650167959262753	True
guide	immune_evasion_antigen_presentation	HLA_A	CXCR4_2	740	0.5664793082213494	True
guide	immune_evasion_antigen_presentation	HLA_A	CXCR4_3	740	0.5662328662969643	True
guide	immune_evasion_antigen_presentation	HLA_A	CYP27A1_1	740	0.5653910192618262	True
guide	immune_evasion_antigen_presentation	HLA_A	CYP27A1_2	740	0.5649963627458108	True
guide	immune_evasion_antigen_presentation	HLA_A	CYP27A1_3	740	0.5648778799124216	True
guide	immune_evasion_antigen_presentation	HLA_A	DAG1_1	740	0.5651363744519503	True
guide	immune_evasion_antigen_presentation	HLA_A	DAG1_2	740	0.5655628060442534	True
guide	immune_evasion_antigen_presentation	HLA_A	DAG1_3	740	0.5651198502277486	True
guide	immune_evasion_antigen_presentation	HLA_A	DDR1_1	740	0.5640787648764288	True
guide	immune_evasion_antigen_presentation	HLA_A	DDR1_2	740	0.5654215209659978	True
guide	immune_evasion_antigen_presentation	HLA_A	DDR1_3	740	0.5657167360037526	True
guide	immune_evasion_antigen_presentation	HLA_A	DDX17_1	740	0.565897347551076	True
guide	immune_evasion_antigen_presentation	HLA_A	DDX17_2	740	0.5641551375900781	True
guide	immune_evasion_antigen_presentation	HLA_A	DDX17_3	740	0.5638660525064627	True
guide	immune_evasion_antigen_presentation	HLA_A	DDX39A_1	740	0.5636314855173911	True
